FrameID	ID	Label	x	y	z	w	h
0	1	person	673	159	1	64	161	
0	2	person	708	-3	1	40	67	
0	3	person	48	0	1	1.10756e+07	0	
1	4	person	673	159	1	64	161	
1	5	person	708	-3	1	40	67	
1	6	person	673	159	1	64	161	
1	7	person	708	-3	1	40	67	
1	8	person	80	0	1	561	0	
2	9	person	673	159	1	64	161	
2	10	person	708	-3	1	40	67	
2	11	person	673	159	1	64	161	
2	12	person	708	-3	1	40	67	
2	13	person	673	159	1	64	160	
2	14	person	708	-3	1	40	67	
2	15	person	112	0	1	97	0	
3	16	person	673	159	1	64	161	
3	17	person	708	-3	1	40	67	
3	18	person	673	159	1	64	161	
3	19	person	708	-3	1	40	67	
3	20	person	673	159	1	64	160	
3	21	person	708	-3	1	40	67	
3	22	person	671	160	1	67	159	
3	23	person	706	-2	1	41	66	
3	24	person	144	0	1	449	0	
4	25	person	673	159	1	64	161	
4	26	person	708	-3	1	40	67	
4	27	person	673	159	1	64	161	
4	28	person	708	-3	1	40	67	
4	29	person	673	159	1	64	160	
4	30	person	708	-3	1	40	67	
4	31	person	671	160	1	67	159	
4	32	person	706	-2	1	41	66	
4	33	person	666	160	1	67	162	
4	34	person	705	-2	1	43	67	
4	35	person	176	0	1	33	0	
5	36	person	673	159	1	64	161	
5	37	person	708	-3	1	40	67	
5	38	person	673	159	1	64	161	
5	39	person	708	-3	1	40	67	
5	40	person	673	159	1	64	160	
5	41	person	708	-3	1	40	67	
5	42	person	671	160	1	67	159	
5	43	person	706	-2	1	41	66	
5	44	person	666	160	1	67	162	
5	45	person	705	-2	1	43	67	
5	46	person	659	161	1	72	171	
5	47	person	703	-1	1	41	67	
5	48	person	208	0	1	97	0	
6	49	person	673	159	1	64	161	
6	50	person	708	-3	1	40	67	
6	51	person	673	159	1	64	161	
6	52	person	708	-3	1	40	67	
6	53	person	673	159	1	64	160	
6	54	person	708	-3	1	40	67	
6	55	person	671	160	1	67	159	
6	56	person	706	-2	1	41	66	
6	57	person	666	160	1	67	162	
6	58	person	705	-2	1	43	67	
6	59	person	659	161	1	72	171	
6	60	person	703	-1	1	41	67	
6	61	person	659	163	1	69	177	
6	62	person	700	-1	1	44	69	
6	63	person	240	0	1	65	0	
7	64	person	673	159	1	64	161	
7	65	person	708	-3	1	40	67	
7	66	person	673	159	1	64	161	
7	67	person	708	-3	1	40	67	
7	68	person	673	159	1	64	160	
7	69	person	708	-3	1	40	67	
7	70	person	671	160	1	67	159	
7	71	person	706	-2	1	41	66	
7	72	person	666	160	1	67	162	
7	73	person	705	-2	1	43	67	
7	74	person	659	161	1	72	171	
7	75	person	703	-1	1	41	67	
7	76	person	659	163	1	69	177	
7	77	person	700	-1	1	44	69	
7	78	person	656	166	1	72	174	
7	79	person	701	-1	1	43	70	
7	80	person	272	0	1	401	0	
8	81	person	673	159	1	64	161	
8	82	person	708	-3	1	40	67	
8	83	person	673	159	1	64	161	
8	84	person	708	-3	1	40	67	
8	85	person	673	159	1	64	160	
8	86	person	708	-3	1	40	67	
8	87	person	671	160	1	67	159	
8	88	person	706	-2	1	41	66	
8	89	person	666	160	1	67	162	
8	90	person	705	-2	1	43	67	
8	91	person	659	161	1	72	171	
8	92	person	703	-1	1	41	67	
8	93	person	659	163	1	69	177	
8	94	person	700	-1	1	44	69	
8	95	person	656	166	1	72	174	
8	96	person	701	-1	1	43	70	
8	97	person	647	174	1	77	167	
8	98	person	697	-1	1	44	73	
8	99	person	0	0	1	33	0	
9	100	person	673	159	1	64	161	
9	101	person	708	-3	1	40	67	
9	102	person	673	159	1	64	161	
9	103	person	708	-3	1	40	67	
9	104	person	673	159	1	64	160	
9	105	person	708	-3	1	40	67	
9	106	person	671	160	1	67	159	
9	107	person	706	-2	1	41	66	
9	108	person	666	160	1	67	162	
9	109	person	705	-2	1	43	67	
9	110	person	659	161	1	72	171	
9	111	person	703	-1	1	41	67	
9	112	person	659	163	1	69	177	
9	113	person	700	-1	1	44	69	
9	114	person	656	166	1	72	174	
9	115	person	701	-1	1	43	70	
9	116	person	647	174	1	77	167	
9	117	person	697	-1	1	44	73	
9	118	person	643	180	1	78	162	
9	119	person	697	0	1	44	74	
9	120	person	336	0	1	401	0	
10	121	person	673	159	1	64	161	
10	122	person	708	-3	1	40	67	
10	123	person	673	159	1	64	161	
10	124	person	708	-3	1	40	67	
10	125	person	673	159	1	64	160	
10	126	person	708	-3	1	40	67	
10	127	person	671	160	1	67	159	
10	128	person	706	-2	1	41	66	
10	129	person	666	160	1	67	162	
10	130	person	705	-2	1	43	67	
10	131	person	659	161	1	72	171	
10	132	person	703	-1	1	41	67	
10	133	person	659	163	1	69	177	
10	134	person	700	-1	1	44	69	
10	135	person	656	166	1	72	174	
10	136	person	701	-1	1	43	70	
10	137	person	647	174	1	77	167	
10	138	person	697	-1	1	44	73	
10	139	person	643	180	1	78	162	
10	140	person	697	0	1	44	74	
10	141	person	643	180	1	75	167	
10	142	person	696	0	1	45	74	
10	143	person	368	0	1	401	0	
11	144	person	673	159	1	64	161	
11	145	person	708	-3	1	40	67	
11	146	person	673	159	1	64	161	
11	147	person	708	-3	1	40	67	
11	148	person	673	159	1	64	160	
11	149	person	708	-3	1	40	67	
11	150	person	671	160	1	67	159	
11	151	person	706	-2	1	41	66	
11	152	person	666	160	1	67	162	
11	153	person	705	-2	1	43	67	
11	154	person	659	161	1	72	171	
11	155	person	703	-1	1	41	67	
11	156	person	659	163	1	69	177	
11	157	person	700	-1	1	44	69	
11	158	person	656	166	1	72	174	
11	159	person	701	-1	1	43	70	
11	160	person	647	174	1	77	167	
11	161	person	697	-1	1	44	73	
11	162	person	643	180	1	78	162	
11	163	person	697	0	1	44	74	
11	164	person	643	180	1	75	167	
11	165	person	696	0	1	45	74	
11	166	person	639	182	1	77	168	
11	167	person	384	0	1	65	0	
12	168	person	673	159	1	64	161	
12	169	person	708	-3	1	40	67	
12	170	person	673	159	1	64	161	
12	171	person	708	-3	1	40	67	
12	172	person	673	159	1	64	160	
12	173	person	708	-3	1	40	67	
12	174	person	671	160	1	67	159	
12	175	person	706	-2	1	41	66	
12	176	person	666	160	1	67	162	
12	177	person	705	-2	1	43	67	
12	178	person	659	161	1	72	171	
12	179	person	703	-1	1	41	67	
12	180	person	659	163	1	69	177	
12	181	person	700	-1	1	44	69	
12	182	person	656	166	1	72	174	
12	183	person	701	-1	1	43	70	
12	184	person	647	174	1	77	167	
12	185	person	697	-1	1	44	73	
12	186	person	643	180	1	78	162	
12	187	person	697	0	1	44	74	
